Inference for Stan model: Matern32Poisson_SDE_reparametrized_model
1 chains: each with iter=(1000); warmup=(0); thin=(1); 1000 iterations saved.

Warmup took (64) seconds, 1.1 minutes total
Sampling took (56) seconds, 56 seconds total

                    Mean     MCSE   StdDev        5%       50%       95%  N_Eff  N_Eff/s    R_hat
x[77]           1.9e+000 4.7e-003 1.5e-001  1.6e+000  1.9e+000  2.1e+000   1000 1.8e+001 1.0e+000
x[78]           1.7e+000 5.1e-003 1.6e-001  1.4e+000  1.7e+000  2.0e+000   1000 1.8e+001 1.0e+000
x[79]           1.5e+000 5.6e-003 1.8e-001  1.2e+000  1.5e+000  1.8e+000   1000 1.8e+001 1.0e+000
x[80]           1.4e+000 6.0e-003 1.9e-001  1.0e+000  1.4e+000  1.6e+000   1000 1.8e+001 1.0e+000
x[81]           1.2e+000 6.3e-003 2.0e-001  8.9e-001  1.2e+000  1.5e+000   1000 1.8e+001 1.0e+000
x[82]           1.1e+000 6.7e-003 2.1e-001  7.6e-001  1.1e+000  1.5e+000   1000 1.8e+001 1.0e+000
x[83]           1.1e+000 6.8e-003 2.2e-001  6.9e-001  1.1e+000  1.4e+000   1000 1.8e+001 1.0e+000
x[84]           1.0e+000 6.8e-003 2.2e-001  6.8e-001  1.1e+000  1.4e+000   1000 1.8e+001 1.0e+000
x[85]           1.1e+000 6.6e-003 2.1e-001  7.2e-001  1.1e+000  1.4e+000   1000 1.8e+001 1.0e+000
x[86]           1.1e+000 6.3e-003 2.0e-001  8.0e-001  1.2e+000  1.4e+000   1000 1.8e+001 1.0e+000
x[87]           1.2e+000 6.1e-003 1.9e-001  8.9e-001  1.2e+000  1.5e+000   1000 1.8e+001 1.0e+000
x[88]           1.3e+000 5.9e-003 1.9e-001  9.9e-001  1.3e+000  1.6e+000   1000 1.8e+001 1.0e+000
